time,SEDI,leads,Nino34
2020-06-01,0.27284652553498745,9,-0.34
2020-07-01,0.27727235646711457,9,-0.3
2020-08-01,0.20505731097526017,9,-0.59
2020-09-01,0.18596752981344855,9,-0.83
2020-10-01,0.1889304377966457,9,-1.26
2020-11-01,0.14352312435706457,9,-1.42
2020-12-01,0.07751638086564422,9,-1.15
2021-01-01,0.15004796070732276,9,-1.0
2021-02-01,0.08590922877192496,9,-1.0
2021-03-01,0.17250000209444097,9,-0.8
2021-04-01,0.12174988641507094,9,-0.72
2021-05-01,0.1467102045814196,9,-0.46
2021-06-01,0.16158450643221534,9,-0.28
2021-07-01,0.23990210311280352,9,-0.39
2021-08-01,0.2316029344995816,9,-0.53
2021-09-01,0.055365396676481556,9,-0.55
2021-10-01,0.16112791664070547,9,-0.94
2021-11-01,0.22065451410081646,9,-0.94
2021-12-01,0.24046520060963095,9,-1.06
2022-01-01,0.22128495698173836,9,-0.94
2022-02-01,0.33298316432370073,9,-0.89
2022-03-01,0.3428306049770779,9,-0.97
2022-04-01,0.2752705017725626,9,-1.11
2022-05-01,0.30713513162400985,9,-1.11
2022-06-01,0.22651817158071527,9,-0.75
2022-07-01,0.19938240614202285,9,-0.69
2022-08-01,0.12917720692025286,9,-0.97
2022-09-01,0.13903753728502322,9,-1.07
2022-10-01,0.22002033889293665,9,-0.99
2022-11-01,0.31461747984091437,9,-0.9
2022-12-01,0.3367617163393233,9,-0.85
2023-01-01,0.34381288124455345,9,-0.72
2023-02-01,0.3258185949590471,9,-0.46
2023-03-01,0.27672668132517075,9,-0.11
2023-04-01,0.1999728596872753,9,0.14
2023-05-01,0.16618060900105366,9,0.46
2023-06-01,0.09416857858498888,9,0.84
2023-07-01,0.09332397952675814,9,1.02
2023-08-01,0.02253082146247227,9,1.35
2023-09-01,0.03234865547468264,9,1.6
2023-10-01,0.0232571880850527,9,1.72
2023-11-01,0.2129829114096032,9,2.02
2023-12-01,0.3104826973544227,9,2.03
2024-01-01,0.30686471362908674,9,1.81
2024-02-01,0.263309888748659,9,1.52
2024-03-01,0.22714304168605143,9,1.13
2024-04-01,0.2513393418242534,9,0.77
2024-05-01,0.3428480426470438,9,0.23
2024-06-01,0.23345211479398933,9,0.17
2024-07-01,0.20919938178526026,9,0.04
2024-08-01,0.08963145357039236,9,-0.12
